Connected to: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN62097261,02.12.2021071625
Number of samples: 19
[MJD: 60677.85276] Averaged frequency: 1.773632 MHz, period: 5.63814949998516342875E-07
Elapsed time: 950.90 ms

measurements counter=5.63814949998516342875E-07,gate=947.17 60677.85418
measurements counter=5.63681134482451715688E-07,gate=964.12 60677.85419
measurements counter=5.63848413805383248882E-07,gate=948.55 60677.85420
measurements counter=5.63714582406171205651E-07,gate=947.94 60677.85421
measurements counter=5.63848413805383248882E-07,gate=957.89 60677.85422
measurements counter=5.63814949998516342875E-07,gate=954.47 60677.85423
measurements counter=5.63781490163496617311E-07,gate=947.98 60677.85424
measurements counter=5.63881881584804925479E-07,gate=1088.72 60677.85426
measurements counter=5.63748034299617223194E-07,gate=941.84 60677.85427
measurements counter=5.63748034299617223194E-07,gate=1011.96 60677.85428
measurements counter=5.63547382470710416190E-07,gate=948.32 60677.85429
measurements counter=5.63814949998516342875E-07,gate=948.16 60677.85430
measurements counter=5.63714582406171205651E-07,gate=963.25 60677.85431
measurements counter=5.63681134482451715688E-07,gate=999.07 60677.85432
measurements counter=5.63781490163496617311E-07,gate=997.87 60677.85434
measurements counter=5.63781490163496617311E-07,gate=947.73 60677.85435
measurements counter=5.63647690527752221947E-07,gate=964.35 60677.85436
measurements counter=5.63848413805383248882E-07,gate=948.35 60677.85437
measurements counter=5.63714582406171205651E-07,gate=947.80 60677.85438
measurements counter=5.63647690527752221947E-07,gate=1014.09 60677.85439
measurements counter=5.63781490163496617311E-07,gate=954.30 60677.85440
measurements counter=5.63814949998516342875E-07,gate=941.95 60677.85441
measurements counter=5.63781490163496617311E-07,gate=980.93 60677.85443
measurements counter=5.63681134482451715688E-07,gate=947.93 60677.85444
measurements counter=5.63781490163496617311E-07,gate=958.45 60677.85445
measurements counter=5.63781490163496617311E-07,gate=953.90 60677.85446
measurements counter=5.63814949998516342875E-07,gate=947.79 60677.85447
measurements counter=5.63781490163496617311E-07,gate=980.37 60677.85448
measurements counter=5.63748034299617223194E-07,gate=1031.90 60677.85449
measurements counter=5.63714582406171205651E-07,gate=981.39 60677.85450
measurements counter=5.63714582406171205651E-07,gate=947.65 60677.85451
measurements counter=5.63748034299617223194E-07,gate=1031.64 60677.85453
measurements counter=5.63915353337488433419E-07,gate=947.38 60677.85454
measurements counter=5.63714582406171205651E-07,gate=954.36 60677.85455
measurements counter=5.63781490163496617311E-07,gate=957.95 60677.85456
measurements counter=5.63714582406171205651E-07,gate=948.48 60677.85457
measurements counter=5.63781490163496617311E-07,gate=947.47 60677.85458
measurements counter=5.63748034299617223194E-07,gate=964.24 60677.85459
measurements counter=5.63848413805383248882E-07,gate=948.38 60677.85460
measurements counter=5.63781490163496617311E-07,gate=947.96 60677.85461
measurements counter=5.63848413805383248882E-07,gate=964.04 60677.85463
measurements counter=5.63814949998516342875E-07,gate=948.08 60677.85464
measurements counter=5.63848413805383248882E-07,gate=948.27 60677.85465
measurements counter=5.63781490163496617311E-07,gate=957.68 60677.85466
measurements counter=5.63647690527752221947E-07,gate=954.92 60677.85467
measurements counter=5.63748034299617223194E-07,gate=998.21 60677.85468
measurements counter=5.63748034299617223194E-07,gate=947.40 60677.85469
measurements counter=5.63714582406171205651E-07,gate=964.45 60677.85470
measurements counter=5.63748034299617223194E-07,gate=947.91 60677.85471
measurements counter=5.63915353337488433419E-07,gate=974.71 60677.85473
measurements counter=5.63681134482451715688E-07,gate=937.37 60677.85474
measurements counter=5.63714582406171205651E-07,gate=948.45 60677.85475
measurements counter=5.63614250541366298950E-07,gate=947.68 60677.85476
measurements counter=5.63681134482451715688E-07,gate=957.94 60677.85477
measurements counter=5.63781490163496617311E-07,gate=954.55 60677.85478
measurements counter=5.63714582406171205651E-07,gate=997.62 60677.85479
measurements counter=5.63814949998516342875E-07,gate=948.19 60677.85480
measurements counter=5.63748034299617223194E-07,gate=964.79 60677.85481
measurements counter=5.63848413805383248882E-07,gate=947.79 60677.85483
measurements counter=5.63814949998516342875E-07,gate=947.78 60677.85484
measurements counter=5.63748034299617223194E-07,gate=966.05 60677.85485
measurements counter=5.63647690527752221947E-07,gate=946.23 60677.85486
measurements counter=5.63748034299617223194E-07,gate=948.19 60677.85487
measurements counter=5.63814949998516342875E-07,gate=958.01 60677.85488
measurements counter=5.63848413805383248882E-07,gate=954.33 60677.85489
measurements counter=5.63748034299617223194E-07,gate=948.22 60677.85490
measurements counter=5.63647690527752221947E-07,gate=947.70 60677.85491
measurements counter=5.63748034299617223194E-07,gate=964.39 60677.85493
measurements counter=5.63881881584804925479E-07,gate=948.23 60677.85494
measurements counter=5.63714582406171205651E-07,gate=947.41 60677.85495
measurements counter=5.63748034299617223194E-07,gate=964.38 60677.85496
measurements counter=5.63814949998516342875E-07,gate=948.95 60677.85497
measurements counter=5.63881881584804925479E-07,gate=947.28 60677.85498
measurements counter=5.63781490163496617311E-07,gate=964.03 60677.85499
measurements counter=5.63781490163496617311E-07,gate=948.33 60677.85500
measurements counter=5.63848413805383248882E-07,gate=948.14 60677.85501
measurements counter=5.63881881584804925479E-07,gate=954.45 60677.85502
measurements counter=5.63781490163496617311E-07,gate=958.15 60677.85504
measurements counter=5.63614250541366298950E-07,gate=947.88 60677.85505
measurements counter=5.63781490163496617311E-07,gate=948.23 60677.85506
measurements counter=5.63814949998516342875E-07,gate=963.72 60677.85507
measurements counter=5.63748034299617223194E-07,gate=1031.33 60677.85508
measurements counter=5.63848413805383248882E-07,gate=948.09 60677.85509
measurements counter=5.63781490163496617311E-07,gate=947.91 60677.85510
measurements counter=5.63748034299617223194E-07,gate=947.94 60677.85511
measurements counter=5.63781490163496617311E-07,gate=964.22 60677.85512
measurements counter=5.63781490163496617311E-07,gate=947.24 60677.85514
measurements counter=5.63814949998516342875E-07,gate=947.86 60677.85515
measurements counter=5.63781490163496617311E-07,gate=964.05 60677.85516
measurements counter=5.63848413805383248882E-07,gate=949.60 60677.85517
measurements counter=5.63781490163496617311E-07,gate=947.19 60677.85518
measurements counter=5.63748034299617223194E-07,gate=957.50 60677.85519
measurements counter=5.63814949998516342875E-07,gate=954.98 60677.85520
measurements counter=5.63814949998516342875E-07,gate=947.53 60677.85521
measurements counter=5.63881881584804925479E-07,gate=948.15 60677.85522
measurements counter=5.63781490163496617311E-07,gate=964.49 60677.85523
measurements counter=5.63748034299617223194E-07,gate=948.35 60677.85525
measurements counter=5.63748034299617223194E-07,gate=947.26 60677.85526
measurements counter=5.63781490163496617311E-07,gate=964.25 60677.85527
measurements counter=5.63647690527752221947E-07,gate=948.28 60677.85528
measurements counter=5.63814949998516342875E-07,gate=948.62 60677.85529
measurements counter=5.63848413805383248882E-07,gate=963.42 60677.85530
measurements counter=5.63681134482451715688E-07,gate=948.46 60677.85531
measurements counter=5.63748034299617223194E-07,gate=948.12 60677.85532
measurements counter=5.63814949998516342875E-07,gate=947.65 60677.85533
measurements counter=5.63781490163496617311E-07,gate=968.63 60677.85535
measurements counter=5.63681134482451715688E-07,gate=943.86 60677.85536
measurements counter=5.63814949998516342875E-07,gate=948.20 60677.85537
measurements counter=5.63814949998516342875E-07,gate=963.90 60677.85538
measurements counter=5.63614250541366298950E-07,gate=948.30 60677.85539
measurements counter=5.63814949998516342875E-07,gate=948.05 60677.85540
measurements counter=5.63814949998516342875E-07,gate=957.83 60677.85541
measurements counter=5.63881881584804925479E-07,gate=955.00 60677.85542
measurements counter=5.63714582406171205651E-07,gate=947.57 60677.85543
measurements counter=5.63714582406171205651E-07,gate=954.38 60677.85544
measurements counter=5.63614250541366298950E-07,gate=957.91 60677.85546
measurements counter=5.63714582406171205651E-07,gate=948.09 60677.85547
measurements counter=5.63881881584804925479E-07,gate=948.03 60677.85548
measurements counter=5.63681134482451715688E-07,gate=964.01 60677.85549
measurements counter=5.63748034299617223194E-07,gate=948.25 60677.85550
measurements counter=5.63781490163496617311E-07,gate=948.31 60677.85551
measurements counter=5.63781490163496617311E-07,gate=963.88 60677.85552
measurements counter=5.63748034299617223194E-07,gate=948.30 60677.85553
measurements counter=5.63814949998516342875E-07,gate=948.18 60677.85554
measurements counter=5.63714582406171205651E-07,gate=957.73 60677.85555
measurements counter=5.63714582406171205651E-07,gate=954.23 60677.85557
measurements counter=5.63848413805383248882E-07,gate=948.22 60677.85558
measurements counter=5.63781490163496617311E-07,gate=948.02 60677.85559
measurements counter=5.63781490163496617311E-07,gate=964.12 60677.85560
measurements counter=5.63848413805383248882E-07,gate=948.21 60677.85561
measurements counter=5.63881881584804925479E-07,gate=947.94 60677.85562
measurements counter=5.63614250541366298950E-07,gate=964.05 60677.85563
measurements counter=5.63681134482451715688E-07,gate=948.64 60677.85564
measurements counter=5.63781490163496617311E-07,gate=948.07 60677.85565
measurements counter=5.63714582406171205651E-07,gate=957.63 60677.85566
measurements counter=5.63681134482451715688E-07,gate=954.62 60677.85568
measurements counter=5.63681134482451715688E-07,gate=947.98 60677.85569
measurements counter=5.63748034299617223194E-07,gate=947.59 60677.85570
measurements counter=5.63748034299617223194E-07,gate=957.81 60677.85571
measurements counter=5.63848413805383248882E-07,gate=955.25 60677.85572
measurements counter=5.63781490163496617311E-07,gate=947.63 60677.85573
measurements counter=5.63647690527752221947E-07,gate=963.92 60677.85574
measurements counter=5.63714582406171205651E-07,gate=948.28 60677.85575
